case_id,complete,hard_violations,unassigned,objective,prior_reference_F_I,current_reference_F_I,reference_source,gap_I_percent,wall_seconds,score_error,delta_F_vs_20s
forward:50_normal,true,0.000000000000000,0.000000000000000,-238.0150000000000,-221.4150000000000,-221.4150000000000,r0_union,7.497233701420393,10.52677690002020,0.000000000000000,0.1999999999999886
forward:50_stress,true,0.000000000000000,0.000000000000000,-275.0528759398496,-273.4528759398495,-273.4528759398495,r0_union,0.5851099552348350,54.92473290002090,0.000000000000000,1.600000000000023
forward:50_edge,true,0.000000000000000,0.000000000000000,-157.7904761904762,-154.8071428571428,-154.8071428571428,r0_union,1.927128993063594,54.87814099999378,0.000000000000000,0.000000000000000
forward:100_normal,true,0.000000000000000,0.000000000000000,-411.0525000000001,-406.2417241379310,-406.2417241379310,r0_union,1.184215105496062,55.06090899999253,0.000000000000000,1.699999999999875
forward:100_stress,true,0.000000000000000,0.000000000000000,-462.2228571428570,-453.6828571428570,-453.6828571428570,r0_union,1.882372204623751,41.23701330000767,0.000000000000000,1.900000000000091
forward:100_edge,true,0.000000000000000,0.000000000000000,-449.1054761904762,-448.6483333333333,-448.6483333333333,r0_union,0.1018933590472543,55.38570980000077,0.000000000000000,-0.3999999999999773
forward:150_normal,true,0.000000000000000,0.000000000000000,-748.7451890756302,-725.5277955665024,-725.5277955665024,r0_union,3.200069473699390,55.49052189997747,0.000000000000000,38.10000000000014
forward:150_stress,true,0.000000000000000,0.000000000000000,-868.7497891534107,-860.4747891534107,-860.4747891534107,r0_union,0.9616783785311646,59.71936329998425,0.000000000000000,33.66833333333375
forward:150_edge,true,0.000000000000000,0.000000000000000,-764.0810714285712,-750.6623997493735,-750.6623997493735,r0_union,1.787577436098816,57.24107099999674,0.000000000000000,16.65333333333331
forward:full_normal,true,0.000000000000000,0.000000000000000,-1000.449432010553,-995.5694320105538,-995.5694320105538,r0_union,0.4901717392170717,56.54200270000729,0.000000000000000,20.16024844057415
forward:full_stress,true,0.000000000000000,0.000000000000000,-944.2538669950736,-944.2662605042017,-944.2538669950736,rich_python_60s,0.000000000000000,59.78185619998840,0.000000000000000,17.84989350912815
forward:full_edge,true,0.000000000000000,0.000000000000000,-1239.196712712308,-1153.465046045641,-1153.465046045641,r0_union,7.432532694473583,59.79366890000529,0.000000000000000,-12.87999999999988
reverse:50_normal,true,0.000000000000000,0.000000000000000,-188.1931715063521,-188.1931715063521,-188.1931715063521,r0_union,1.510241269803176e-14,6.354185200005304,0.000000000000000,0.000000000000000
reverse:50_stress,true,0.000000000000000,0.000000000000000,-156.6378571428572,-147.4628571428571,-147.4628571428571,r0_union,6.221905758350799,54.91934209997999,0.000000000000000,-5.062185636505092
reverse:50_edge,true,0.000000000000000,0.000000000000000,-133.1976190476191,-132.7976190476190,-132.7976190476190,r0_union,0.3012102196324775,54.89871280000079,0.000000000000000,0.000000000000000
reverse:100_normal,true,0.000000000000000,0.000000000000000,-487.5288669950738,-479.7088669950739,-479.7088669950739,r0_union,1.630155400083552,55.20378529999289,0.000000000000000,-1.171052631578902
reverse:100_stress,true,0.000000000000000,0.000000000000000,-432.1415002622835,-424.4707142857142,-424.4707142857142,r0_union,1.807141392422662,55.05440200000885,0.000000000000000,11.17285714285720
reverse:100_edge,true,0.000000000000000,0.000000000000000,-444.1178571428571,-409.3511904761905,-409.3511904761905,r0_union,8.493114830379081,55.09690620002220,0.000000000000000,0.7392857142857565
reverse:150_normal,true,0.000000000000000,0.000000000000000,-709.9828571428569,-696.9078571428576,-696.9078571428576,r0_union,1.876144725014795,22.27904889997444,0.000000000000000,-1.450000000000045
reverse:150_stress,true,0.000000000000000,0.000000000000000,-734.0826462962680,-715.2049760176301,-715.2049760176301,r0_union,2.639476920833467,55.24557430000277,0.000000000000000,8.309999999999832
reverse:150_edge,true,0.000000000000000,0.000000000000000,-709.6446717686357,-628.0318516372066,-628.0318516372066,r0_union,12.99501289921425,55.39729729999090,0.000000000000000,5.770027248648944
reverse:full_normal,true,0.000000000000000,0.000000000000000,-850.5555935372711,-836.4643405277354,-836.4643405277354,r0_union,1.684620888996333,47.95383179999772,0.000000000000000,36.82511627906990
reverse:full_stress,true,0.000000000000000,0.000000000000000,-984.9812177248391,-968.9135890377370,-968.9135890377370,r0_union,1.658313895985240,55.56113409998943,0.000000000000000,-7.049831932773031
reverse:full_edge,true,0.000000000000000,0.000000000000000,-950.3632640467445,-977.4797880477054,-950.3632640467445,rich_python_60s,0.000000000000000,55.32857179999701,0.000000000000000,44.87801004365394
